name,gnd,byr,ht,wt,bd,a,ftln
강소라,F,1990,168,,A,actor,
김고은,F,1991,167,,B,actor,
김민희,F,1982,170,49,A,actor,240
김아중,F,1982,170,48,A,actor,
김태리,F,1990,166,46,B,actor,
김태희,F,1980,165,45,O,actor,
김혜수,F,1970,170,,,actor,
김희선,F,1977,168,45,O,actor,
문채원,F,1986,168,48,B,actor,
박민영,F,1986,164,,O,actor,
박보영,F,1990,158,44,O,actor,215
박신혜,F,1990,168,,A,actor,
박하선,F,1987,165,,B,actor,
배두나,F,1979,171,49,O,actor,
배수지,F,1994,168,47,AB,actor,250
서현진,F,1985,167,45,B,actor,
소진,F,1986,166,50,AB,actor,
소희,F,1992,163,43,AB,actor,235
손나은,F,1994,168,48,B,actor,240
손예진,F,1982,165,45,A,actor,
송혜교,F,1981,164,45,A,actor,
신민아,F,1984,169,,O,actor,
신세경,F,1990,164,,B,actor,
신혜선,F,1989,173,,O,actor,245
심은경,F,1994,163,,B,actor,
심은하,F,1972,165,45,B,actor,
아이유,F,1993,162,45,O,actor,225
윤아,F,1990,168,47,B,actor,240
윤은혜,F,1984,167,52,O,actor,
이성경,F,1990,173,51,B,actor,
이영애,F,1971,165,48,AB,actor,235
전지현,F,1981,172,48,B,actor,
정소민,F,1989,163,44,A,actor,235
하지원,F,1978,166,,A,actor,
한가인,F,1982,167,,AB,actor,
한예슬,F,1981,166,47,A,actor,240
한지민,F,1982,158,43,B,actor,
한효주,F,1987,172,,A,actor,245
혜리,F,1994,166,52,AB,actor,
황정음,F,1985,167,48,O,actor,
박나래,F,1985,149,60,B,comedian,225
이효리,F,1979,163,52,A,singer,
강동원,M,1981,186,68,B,actor,
강하늘,M,1990,181,67,B,actor,
고수,M,1978,176,,A,actor,
공유,M,1979,184,,A,actor,280
권상우,M,1976,183,72,O,actor,
김수현,M,1988,180,65,AB,actor,265
김우빈,M,1989,188,,B,actor,
김윤석,M,1967,178,68,B,actor,
남궁민,M,1978,177,,B,actor,
남주혁,M,1994,187,75,A,actor,
마동석,M,1971,178,100,O,actor,
박보검,M,1993,181,70,O,actor,
박서준,M,1988,185,76,AB,actor,
박해일,M,1977,177,68,O,actor,
박해진,M,1983,186,72,A,actor,
서강준,M,1993,183,70,AB,actor,
소지섭,M,1977,182,70,O,actor,
송강호,M,1967,180,80,A,actor,
송중기,M,1985,172,64,A,actor,
양세종,M,1992,182,69,B,actor,
원빈,M,1977,178,,O,actor,
유승호,M,1993,175,,A,actor,
유아인,M,1986,179,71,A,actor,
유해진,M,1970,174,65,A,actor,
이동욱,M,1981,185,,B,actor,
이병헌,M,1970,177,72,O,actor,
이정재,M,1972,180,70,B,actor,
임시완,M,1988,168,55,B,actor,
장동건,M,1972,182,,O,actor,
정우성,M,1973,186,,O,actor,
정해인,M,1988,176,64,A,actor,
조승우,M,1980,174,63,B,actor,
조인성,M,1981,186,72,B,actor,
조정석,M,1980,174,63,AB,actor,
조진웅,M,1976,186,,A,actor,
주지훈,M,1982,187,,A,actor,
차승원,M,1970,188,80,AB,actor,
하정우,M,1978,184,,A,actor,
현빈,M,1982,184,74,B,actor,
황정민,M,1970,180,73,O,actor,
이수근,M,1975,168,62,O,comedian,
성시경,M,1979,186,80,A,singer,310
