gnd,age,ht,wt,wa,hdln,hdwd,ftln,ftwd,bld,lft,smk,alc
M,42,165,79,96.4,17.9,8.6,24.5,9.6,O,0,0,1
M,23,187.5,77.8,76.6,20.4,8.3,28.9,10.6,O,0,1,0
F,32,161.7,59.6,83,17.5,7.7,23.3,10.4,A,0,0,0
F,30,162,52,65.8,16.4,6.6,23.7,8.4,B,0,0,0
F,NA,160,58.9,75,17.4,7.7,24.1,9.4,A,0,0,0
M,26,179,76.3,83.8,19,8.6,25.7,10.7,B,0,0,0
M,20,176.6,61.4,70.1,19.8,7.8,26.5,9.6,AB,0,0,0
M,24,173.6,63,72.4,18.5,7.9,25.7,10.2,A,0,0,0
M,18,179,65.2,73.5,20.1,8,25.8,10.3,O,0,0,0
F,58,150.3,58.3,83.1,15.6,7.6,22.1,8.7,B,0,0,0
M,25,176.9,83.7,88.5,19.4,9.2,27,10.9,O,0,1,1
M,33,175.7,65.1,71.2,18.7,8,26.6,10.3,B,0,1,1
F,19,150.3,57.1,80.3,15.6,7.3,21.8,8.9,B,0,0,0
F,19,152.6,48.2,68,15.8,7,22.3,9,B,0,0,0
F,28,149.4,45.7,66,16.3,7.3,22.7,9.3,B,0,0,0
F,17,158,49.8,66.6,16.8,7.2,23.7,8.9,AB,0,0,0
M,22,169.5,72,90,18.5,8.4,24.9,9.9,B,0,0,0
F,19,149.5,43,60.5,15.8,7,20.6,8.5,O,0,0,0
M,18,177,72.1,75.4,17.9,8.2,25.6,10,A,1,0,0
F,19,161.3,57.8,74.1,16.5,7.3,22.1,8.1,AB,0,0,0
M,55,172.9,69.6,83,18.4,8.7,26.1,10.7,O,0,0,1
M,25,167.6,68.5,78,17.5,8.1,24.3,10.9,A,0,0,0
F,34,159.6,57.4,80.5,16.6,7.5,23.6,9.3,B,0,0,0
F,46,152,68.2,88,16.7,7.6,22.7,8.7,B,0,0,0
F,32,172,62.5,76.2,17.7,7.6,24.9,9.1,B,0,0,0
M,34,180.3,73,80,18.9,8.1,26.8,10.4,O,0,0,0
M,22,175.5,97,97.3,19.5,8.6,26.5,10.5,O,0,1,1
M,19,169.4,65.5,78.5,18.8,8.3,25.4,9.2,A,0,0,1
M,17,171.7,72.3,86,17.5,8.2,24.3,9.8,O,0,0,0
M,32,174.9,94.1,97.9,18.1,8.7,26.1,10.4,A,NA,0,0
M,59,173.8,59.5,73.1,19.1,8.6,27.8,10.7,B,0,0,0
F,18,158,88.8,111.6,16.8,7.5,23.3,9.3,B,0,0,0
M,58,165.3,68.5,89.5,18.3,8.9,24.7,10.3,AB,0,0,0
M,26,170.2,61.8,70.4,17.1,8.5,23.8,8.1,A,0,0,0
F,33,156.7,46.3,69,16.8,6.9,22.2,9.3,AB,0,0,0
M,20,169.7,57.8,74,17.6,7.7,24,9.5,O,0,0,0
M,NA,181.4,89.7,87.8,20.2,8.6,NA,12.2,B,0,0,0
F,25,161.2,49.8,67.5,16.7,7.1,22.1,8.8,A,0,0,0
F,20,149.9,69.9,102.1,15.5,7.1,22.1,9.3,AB,0,0,0
F,48,156.7,59.2,79.5,17,7.9,24.3,9.3,B,0,0,0
F,37,159.6,50.6,71.5,17.5,7.9,24,9.5,O,0,0,0
M,20,174.3,81.9,82.5,18.3,8.3,26.8,10.4,B,0,0,0
M,39,173.7,62.6,74.6,19.6,8.5,25.6,10,B,0,0,0
M,47,175.1,76.8,90.2,19.4,8.2,26.1,9.9,O,0,0,0
F,30,164.2,68.7,82.5,17.2,7.5,24.8,9.7,B,0,0,1
F,38,155.8,52.5,70.5,15.6,7.2,21.5,8.3,O,0,0,0
M,63,175.2,82.5,98.8,20.1,9.2,26.5,10,A,0,0,0
M,53,172.3,61.5,78.6,17.5,8.3,24.5,9.7,AB,0,1,0
F,37,157.4,48.7,67.5,17.4,7.4,23.7,9.1,AB,0,0,0
M,38,166.5,58.1,76,17.3,8,24.5,9.7,B,0,1,1
M,16,171.1,59.3,70.5,16.9,8.1,23.1,8,A,0,0,0
F,17,157.8,49,68.3,16.3,7,22.8,9.3,A,0,0,0
M,24,177.5,106.1,109,18.4,8.1,26.3,11.9,O,0,0,0
F,58,156,56.3,77,17.5,7.8,24.7,9.6,B,0,0,0
F,16,154.9,58.8,75.1,16.4,7.9,23.2,9.5,A,0,0,1
M,30,173,73,85,19.4,8.7,26.4,10.5,A,0,0,0
M,17,163.3,70.7,87,17.5,7.8,25.2,9.9,A,0,0,NA
F,28,167,55.6,66.5,17.6,7.6,23.2,9,AB,0,1,0
M,43,166.2,65.6,83.5,17.3,8.3,25,10.8,A,0,0,0
F,46,165.8,68.9,82,18.5,8.4,25.6,10,AB,0,0,0
M,19,171,56.8,67,17.7,8,24.1,8.7,AB,0,0,0
F,27,164.7,73.1,76,18.3,7.7,25.9,10.3,A,0,1,1
M,16,169,61.6,70.5,17.6,8.1,25.1,10.2,B,0,0,0
F,22,156.5,46.5,67.6,16.8,7,22.6,8.7,B,0,0,0
M,16,173.5,75,79.7,18.2,8.5,24.3,8.9,B,1,0,0
F,61,157,60.4,87.6,17.4,7.7,23.9,8.6,B,0,0,0
